,name,image
62,Belgian Shepherd Dog (Groenendael),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/European_Groenendael_male.jpg/400px-European_Groenendael_male.jpg
63,Belgian Shepherd Dog (Laekenois),https://upload.wikimedia.org/wikipedia/commons/7/71/Fang-sitt-040728.jpg
64,Belgian Shepherd Dog (Malinois),https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Malinois_rybnik-kamien_pl.jpg/400px-Malinois_rybnik-kamien_pl.jpg
65,Belgian Shepherd Dog (Tervuren),https://upload.wikimedia.org/wikipedia/commons/9/99/Tervueren.jpg
66,Bergamasco Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ortensia_di_Valle_Scrivia.jpg/400px-Ortensia_di_Valle_Scrivia.jpg
67,Berger Blanc Suisse,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Sheba_of_White_Starlight_part.JPG/400px-Sheba_of_White_Starlight_part.JPG
68,Berger Picard,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/BergerPicard.jpg/400px-BergerPicard.jpg
69,Bernese Mountain Dog,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Berner_sennhund.jpg/400px-Berner_sennhund.jpg
70,Bichon Frisé,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Bichon_Fris%C3%A9_-_studdogbichon.jpg/400px-Bichon_Fris%C3%A9_-_studdogbichon.jpg
71,Billy,https://upload.wikimedia.org/wikipedia/commons/a/a5/Poitou_Hound_from_1915.JPG
72,Black and Tan Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Black_and_Tan_Coonhound.jpg/400px-Black_and_Tan_Coonhound.jpg
73,Black and Tan Virginia Foxhound,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
74,Black Norwegian Elkhound,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/BlackNorwegianElkhound.jpg/400px-BlackNorwegianElkhound.jpg
75,Black Russian Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Czarny_terier_rosyjski_64.jpg/400px-Czarny_terier_rosyjski_64.jpg
76,Black Mouth Cur,https://upload.wikimedia.org/wikipedia/commons/3/3c/MurphysKassieBlackmouthAlabama2.jpg
77,Bloodhound,https://upload.wikimedia.org/wikipedia/commons/c/c6/Bloodhound_800.jpg
78,Blue Heeler,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Australian_Cattle_Dog_22.04.2012_5pl.jpg/400px-Australian_Cattle_Dog_22.04.2012_5pl.jpg
79,Blue Lacy,https://upload.wikimedia.org/wikipedia/commons/2/2b/BlueLacyPhoto1.jpg
80,Blue Paul Terrier,https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png
81,Blue Picardy Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Epagneul_bleu_de_picardie_868.jpg/400px-Epagneul_bleu_de_picardie_868.jpg
82,Bluetick Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/BluetickCoonhound.jpg/400px-BluetickCoonhound.jpg
83,Boerboel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Boerboel.jpg/400px-Boerboel.jpg
